date,state_code
2020-04-28,ny
2020-04-28,oh
2020-04-28,ok
2020-04-28,or
2020-04-28,pa
2020-04-28,ri
2020-04-28,sc
2020-04-28,sd
2020-04-28,tn
2020-04-28,tx
2020-04-28,ut
2020-04-28,va
2020-04-28,vt
2020-04-28,wa
2020-04-28,wi
2020-04-28,wv
2020-04-28,wy
2020-04-29,ak
2020-04-29,al
2020-04-29,ar
2020-04-29,az
2020-04-29,ca
2020-04-29,co
2020-04-29,ct
2020-04-29,dc
2020-04-29,de
2020-04-29,fl
2020-04-29,ga
2020-04-29,hi
2020-04-29,ia
2020-04-29,id
2020-04-29,il
2020-04-29,in
2020-04-29,ks
2020-04-29,ky
2020-04-29,la
2020-04-29,ma
2020-04-29,md
2020-04-29,me
2020-04-29,mi
2020-04-29,mn
2020-04-29,mo
2020-04-29,ms
2020-04-29,mt
2020-04-29,nc
2020-04-29,nd
2020-04-29,ne
2020-04-29,nh
2020-04-29,nj
2020-04-29,nm
2020-04-29,nv
2020-04-29,ny
2020-04-29,oh
2020-04-29,ok
2020-04-29,or
2020-04-29,pa
2020-04-29,ri
2020-04-29,sc
2020-04-29,sd
2020-04-29,tn
2020-04-29,tx
2020-04-29,ut
2020-04-29,va
2020-04-29,vt
2020-04-29,wa
2020-04-29,wi
2020-04-29,wv
2020-04-29,wy
2020-04-30,ak
2020-04-30,al
2020-04-30,ar
2020-04-30,az
2020-04-30,ca
2020-04-30,co
2020-04-30,ct
2020-04-30,dc
2020-04-30,de
2020-04-30,fl
2020-04-30,ga
2020-04-30,hi
2020-04-30,ia
2020-04-30,id
2020-04-30,il
2020-04-30,in
2020-04-30,ks
2020-04-30,ky
2020-04-30,la
2020-04-30,ma
2020-04-30,md
2020-04-30,me
2020-04-30,mi
2020-04-30,mn
2020-04-30,mo
2020-04-30,ms
2020-04-30,mt
2020-04-30,nc
2020-04-30,nd
2020-04-30,ne
2020-04-30,nh
2020-04-30,nj
2020-04-30,nm
2020-04-30,nv
2020-04-30,ny
2020-04-30,oh
2020-04-30,ok
2020-04-30,or
2020-04-30,pa
2020-04-30,ri
2020-04-30,sc
2020-04-30,sd
2020-04-30,tn
2020-04-30,tx
2020-04-30,ut
2020-04-30,va
2020-04-30,vt
2020-04-30,wa
2020-04-30,wi
2020-04-30,wv
2020-04-30,wy
2020-05-01,ak
2020-05-01,al
2020-05-01,ar
2020-05-01,az
2020-05-01,ca
2020-05-01,co
2020-05-01,ct
2020-05-01,dc
2020-05-01,de
2020-05-01,fl
2020-05-01,ga
2020-05-01,hi
2020-05-01,ia
2020-05-01,id
2020-05-01,il
2020-05-01,in
2020-05-01,ks
2020-05-01,ky
2020-05-01,la
2020-05-01,ma
2020-05-01,md
2020-05-01,me
2020-05-01,mi
2020-05-01,mn
2020-05-01,mo
2020-05-01,ms
2020-05-01,mt
2020-05-01,nc
2020-05-01,nd
2020-05-01,ne
2020-05-01,nh
2020-05-01,nj
2020-05-01,nm
2020-05-01,nv
2020-05-01,ny
2020-05-01,oh
2020-05-01,ok
2020-05-01,or
2020-05-01,pa
2020-05-01,ri
2020-05-01,sc
2020-05-01,sd
2020-05-01,tn
2020-05-01,tx
2020-05-01,ut
2020-05-01,va
2020-05-01,vt
2020-05-01,wa
2020-05-01,wi
2020-05-01,wv
2020-05-01,wy
2020-05-02,ak
2020-05-02,al
2020-05-02,ar
2020-05-02,az
2020-05-02,ca
2020-05-02,co
2020-05-02,ct
2020-05-02,dc
2020-05-02,de
2020-05-02,fl
2020-05-02,ga
2020-05-02,hi
2020-05-02,ia
2020-05-02,id
2020-05-02,il
2020-05-02,in
2020-05-02,ks
2020-05-02,ky
2020-05-02,la
2020-05-02,ma
2020-05-02,md
2020-05-02,me
2020-05-02,mi
2020-05-02,mn
2020-05-02,mo
2020-05-02,ms
2020-05-02,mt
2020-05-02,nc
2020-05-02,nd
2020-05-02,ne
2020-05-02,nh
2020-05-02,nj
2020-05-02,nm
2020-05-02,nv
2020-05-02,ny
2020-05-02,oh
2020-05-02,ok
2020-05-02,or
2020-05-02,pa
2020-05-02,ri
2020-05-02,sc
2020-05-02,sd
2020-05-02,tn
2020-05-02,tx
2020-05-02,ut
2020-05-02,va
2020-05-02,vt
2020-05-02,wa
2020-05-02,wi
2020-05-02,wv
2020-05-02,wy
2020-05-03,ak
2020-05-03,al
2020-05-03,ar
2020-05-03,az
2020-05-03,ca
2020-05-03,co
2020-05-03,ct
2020-05-03,dc
2020-05-03,de
2020-05-03,fl
2020-05-03,ga
2020-05-03,hi
2020-05-03,ia
2020-05-03,id
2020-05-03,il
2020-05-03,in
